timestamp,prompt,style,seed,status,cost_time_sec,filename
2026-02-12 11:01:23,a red apple,✨ 通用高画质,1006,Success,6.06,Batch_1
2026-02-12 11:01:53,a cute cat in space suit,🤖 赛博朋克,1001,Success,5.02,N/A
2026-02-12 11:01:58,luxury perfume bottle on water,✨ 通用高画质,2002,Success,5.01,N/A
2026-02-12 11:02:03,ancient chinese temple in mountains,🖌️ 墨水油画,3003,Success,5.02,N/A
2026-02-12 11:02:08,cyberpunk city street at night,🤖 赛博朋克,4004,Success,5.01,N/A
2026-02-12 11:02:13,1girl with white hair,🌸 日系动漫,5005,Success,5.02,N/A
2026-02-12 11:07:44,a red apple,✨ 通用高画质,1006,Success,5.67,Batch_1
2026-02-12 11:08:09,a cute cat in space suit,🤖 赛博朋克,1001,Success,5.01,N/A
2026-02-12 11:08:14,luxury perfume bottle on water,✨ 通用高画质,2002,Success,5.02,N/A
2026-02-12 11:08:19,ancient chinese temple in mountains,🖌️ 墨水油画,3003,Success,5.01,N/A
2026-02-12 11:08:24,cyberpunk city street at night,🤖 赛博朋克,4004,Success,5.01,N/A
2026-02-12 11:08:29,1girl with white hair,🌸 日系动漫,5005,Success,5.02,N/A
2026-02-12 11:16:35,a apple,✨ 通用高画质,997,Success,5.63,Batch_1
2026-02-12 11:17:01,a cute cat in space suit,🤖 赛博朋克,1001,Success,5.01,N/A
2026-02-12 11:17:06,luxury perfume bottle on water,✨ 通用高画质,2002,Success,5.03,N/A
2026-02-12 11:17:11,ancient chinese temple in mountains,🖌️ 墨水油画,3003,Success,5.02,N/A
2026-02-12 11:17:16,cyberpunk city street at night,🤖 赛博朋克,4004,Success,5.02,N/A
2026-02-12 11:17:21,1girl with white hair,🌸 日系动漫,5005,Success,5.02,N/A
2026-02-12 11:21:41,a cute cat in space suit,🤖 赛博朋克,71165963999863,Success,4.01,N/A
2026-02-12 11:21:45,luxury perfume bottle on water,✨ 通用高画质,72591543943991,Success,4.02,N/A
2026-02-12 11:21:49,ancient chinese temple in mountains,🖌️ 墨水油画,31116350910940,Success,4.01,N/A
2026-02-12 11:21:54,cyberpunk city street at night,🤖 赛博朋克,5214285262285,Success,4.2,N/A
2026-02-12 11:21:58,1girl with white hair,🌸 日系动漫,61920131380372,Success,4.02,N/A
2026-02-12 11:30:10,"1girl, reading a book, on a cyberpunk street, foggy morning",🖌️ 墨水油画,20017173323478,Success,4.01,N/A
2026-02-12 11:30:14,"a warrior, looking at sky, underwater, snowy evening",✨ 通用高画质,14903211514416,Success,4.03,N/A
2026-02-12 11:30:18,"1girl, looking at sky, in a forest, foggy morning",🌸 日系动漫,83807926289739,Success,4.01,N/A
2026-02-12 11:30:22,"1boy, fighting with sword, underwater, foggy morning",🌸 日系动漫,35463169609465,Success,4.01,N/A
2026-02-12 11:30:26,"a futuristic robot, drinking coffee, in a spaceship, snowy evening",🌸 日系动漫,85895105151933,Success,4.02,N/A
2026-02-12 11:30:30,"a warrior, looking at sky, underwater, foggy morning",🖌️ 墨水油画,89461830762625,Success,4.01,N/A
2026-02-12 11:30:34,"1girl, reading a book, in a spaceship, snowy evening",🖌️ 墨水油画,53417542333780,Success,4.01,N/A
2026-02-12 11:30:38,"a cute cat, looking at sky, underwater, sunny day",🖌️ 墨水油画,99181270245435,Success,4.01,N/A
2026-02-12 11:30:42,"1girl, drinking coffee, in a forest, foggy morning",🖌️ 墨水油画,76701344110546,Success,4.01,N/A
2026-02-12 11:30:46,"1girl, looking at sky, on a cyberpunk street, sunny day",🤖 赛博朋克,28655785113107,Success,4.02,N/A
2026-02-12 12:04:46,"1girl, looking at viewer",✨ 通用高画质,23460245173215,Success,6.21,Single_1
2026-02-12 12:25:31,Dutch town,✨ 通用高画质,55313251704750,Success,4.84,Single_1
2026-02-12 12:26:12,Dutch town,✨ 通用高画质,59269199804486,Success,4.88,Single_2
2026-02-12 12:48:37,"epic landscape, mountains, sunset, cinematic lighting",✨ 通用高画质,95651222705261,Success,11.06,Single_1
2026-02-12 12:55:48,"1girl, detailed hand",✨ 通用高画质,56728666210851,Success,10.61,Single_1
2026-02-12 13:22:17,"1girl, full body, cute, standing",✨ 通用高画质,78347924639476,Success,5.79,Single_1
2026-02-12 13:22:46,"1girl, full body, cute, standing",✨ 通用高画质,77833768012542,Success,5.82,Single_1
2026-02-12 15:43:17,"1girl, full body, cute, standing",✨ 通用高画质,9763746931359,Success,5.78,Single_1
2026-02-14 14:42:25,"1girl, full body, cute, standing",✨ 通用高画质,54264840454030,Success,5.38,Single_1
2026-02-14 16:04:21,"1girl, full body",✨ 通用高画质,59428033555452,Success,18.2,Single_1
2026-02-14 16:13:24,a lion,✨ 通用高画质,50225312415050,Success,5.33,Single_1
2026-02-14 16:29:53,a lion,✨ 通用高画质,99914772695757,Success,4.07,Single_1
2026-02-14 16:50:25,a lion,✨ 通用高画质,65991861312291,Success,7.38,Single_1
2026-02-14 16:53:43,a lion,✨ 通用高画质,95745334923523,Success,6.35,Single_1
2026-02-14 16:58:08,a lion,✨ 通用高画质,45575654984883,Success,14.18,Single_1
2026-02-14 17:07:50,"shot on 85mm lens, f/1.8, bokeh, national geographic photo, 8k uhd, hdr",✨ 通用高画质,23197463546584,Success,6.36,Single_1
2026-02-14 17:41:38,"1girl, smiling, white dress, beach background",Batch,1001,Success,0,Job_001_Girl
2026-02-14 17:43:00,"1boy, cyberpunk, neon lights, city background",Batch,2002,Success,0,Job_002_Boy
2026-02-14 17:44:22,"cat, fluffy, sitting on sofa, cozy",Batch,3003,Success,0,Job_003_Cat
2026-02-14 17:45:44,"dog, golden retriever, running in park",Batch,4004,Success,0,Job_004_Dog
2026-02-14 17:52:03,"1girl, smiling, white dress, beach background",Batch,1001,Success,0,Job_001_Girl
2026-02-14 17:53:26,"1boy, cyberpunk, neon lights, city background",Batch,2002,Success,0,Job_002_Boy
2026-02-14 17:54:48,"cat, fluffy, sitting on sofa, cozy",Batch,3003,Success,0,Job_003_Cat
2026-02-14 17:56:10,"dog, golden retriever, running in park",Batch,4004,Success,0,Job_004_Dog
